listing_id,price,borough,neighbourhood_name,accommodates,bedrooms,beds,price_per_accommodate,host_is_superhost,number_of_reviews,review_scores_rating,availability_365
975250,79.0,Brooklyn,Bedford-Stuyvesant,1,1.0,1.0,79.0,f,43,4.84,145
975990,300.0,Brooklyn,Brooklyn Heights,2,1.0,1.0,150.0,f,13,4.08,363
978386,78.0,Queens,Astoria,2,1.0,1.0,39.0,f,314,4.42,313
1195260,110.0,Brooklyn,East Flatbush,4,1.0,2.0,27.5,f,142,4.7,364
1205103,120.0,Brooklyn,Fort Greene,2,1.0,1.0,60.0,f,267,4.85,336
1213745,227.0,Manhattan,Upper West Side,2,1.0,1.0,113.5,f,4,5.0,100
982038,111.0,Brooklyn,Fort Greene,2,1.0,4.0,55.5,f,18,4.89,137
983625,169.0,Manhattan,Harlem,2,0.0,1.0,84.5,t,209,4.66,293
986727,165.0,Manhattan,Harlem,2,2.0,4.0,82.5,f,416,4.56,365
990367,175.0,Manhattan,Harlem,2,1.0,2.0,87.5,f,28,4.32,173
990529,11078.0,Manhattan,Murray Hill,2,1.0,1.0,5539.0,f,3,4.67,83
993514,240.0,Manhattan,Upper West Side,3,1.0,2.0,80.0,t,15,4.8,346
1215627,150.0,Queens,Arverne,2,0.0,2.0,75.0,f,230,4.84,365
1220548,90.0,Queens,Richmond Hill,4,2.0,2.0,22.5,f,43,4.53,230
1221962,181.0,Manhattan,Chelsea,2,1.0,1.0,90.5,f,17,4.63,365
993575,311.0,Manhattan,Upper West Side,3,1.0,2.0,103.66666666666667,t,27,4.81,356
993576,232.0,Manhattan,Upper West Side,3,1.0,2.0,77.33333333333333,t,28,4.89,336
995187,258.0,Brooklyn,Clinton Hill,6,3.0,3.0,43.0,f,117,4.68,347
1010785,160.0,Queens,Astoria,2,1.0,1.0,80.0,t,82,4.9,172
1251681,220.0,Brooklyn,Kensington,2,1.0,1.0,110.0,f,26,4.81,117
1255828,94.0,Manhattan,Upper West Side,1,1.0,2.0,94.0,t,324,4.84,188
1256670,135.0,Manhattan,Upper East Side,2,0.0,1.0,67.5,f,2,4.0,365
1258651,292.0,Manhattan,Harlem,2,1.0,2.0,146.0,t,189,4.88,291
1023529,53.0,Manhattan,Harlem,1,1.0,1.0,53.0,f,210,4.73,60
1024647,88.0,Bronx,Norwood,2,1.0,1.0,44.0,f,3,5.0,359
1025786,64.0,Queens,Long Island City,1,1.0,1.0,64.0,f,13,4.62,271
1026683,88.0,Bronx,Concourse,2,1.0,2.0,44.0,f,72,4.65,52
1027808,437.0,Manhattan,East Village,3,2.0,1.0,145.66666666666666,f,56,4.88,347
1030254,47.0,Brooklyn,Bushwick,1,1.0,1.0,47.0,,86,4.9,336
1263964,93.0,Manhattan,Harlem,1,1.0,1.0,93.0,f,292,4.77,274
1268154,62.0,Queens,Maspeth,2,1.0,2.0,31.0,f,208,4.77,173
1035120,138.0,Queens,East Elmhurst,2,1.0,1.0,69.0,f,59,4.59,330
1036498,76.0,Queens,Astoria,1,1.0,1.0,76.0,f,89,4.58,335
1038802,67.0,Brooklyn,Greenpoint,1,1.0,1.0,67.0,t,8,5.0,161
1039984,120.0,Brooklyn,Bedford-Stuyvesant,3,2.0,4.0,40.0,f,63,4.79,128
1040156,663.0,Manhattan,Chelsea,6,2.0,2.0,110.5,f,177,4.91,97
1040182,61.0,Brooklyn,Prospect-Lefferts Gardens,1,1.0,1.0,61.0,f,103,4.41,365
1042806,81.0,Queens,Flushing,2,1.0,1.0,40.5,,442,4.81,130
1278784,90.0,Bronx,Longwood,4,1.0,2.0,22.5,t,195,4.87,234
1279234,150.0,Brooklyn,Crown Heights,4,1.0,1.0,37.5,f,6,4.83,321
1284776,250.0,Brooklyn,Gowanus,6,2.0,1.0,41.666666666666664,f,48,4.88,274
1291020,80.0,Brooklyn,South Slope,1,1.0,1.0,80.0,f,0,,365
1043493,212.0,Manhattan,Hell's Kitchen,6,2.0,2.0,35.333333333333336,f,38,4.31,365
